,nps_3m,nps_3f,nps_2m_f,nps_2f_m,nps_2m,nps_2f
16,"('gentleman', 'grandson', 'Daniel')","('Isabella', 'Olivia', 'Emily')","('Kevin', 'uncle', 'mother-in-law')","('Ashley', 'Stephanie', 'husband')","('Daniel', 'uncle')","('Emma', 'Hannah')"
17,"('grandson', 'gentleman', 'Daniel')","('Olivia', 'Isabella', 'Emily')","('uncle', 'Kevin', 'mother-in-law')","('Stephanie', 'Ashley', 'husband')","('uncle', 'Daniel')","('Hannah', 'Emma')"
18,"('Michael', 'Nicholas', 'Andrew')","('Emily', 'granddaughter', 'Sophia')","('father-in-law', 'Jacob', 'Emily')","('Hannah', 'niece', 'William')","('grandson', 'Liam')","('Nicole', 'sister')"
19,"('Nicholas', 'Michael', 'Andrew')","('granddaughter', 'Emily', 'Sophia')","('Jacob', 'father-in-law', 'Emily')","('niece', 'Hannah', 'William')","('Liam', 'grandson')","('sister', 'Nicole')"
20,"('Matthew', 'Noah', 'brother')","('Abigail', 'Olivia', 'Nicole')","('boy', 'Jason', 'Emily')","('Ashley', 'Emily', 'Andrew')","('brother', 'Joshua')","('Amanda', 'Sarah')"
21,"('Noah', 'Matthew', 'brother')","('Olivia', 'Abigail', 'Nicole')","('Jason', 'boy', 'Emily')","('Emily', 'Ashley', 'Andrew')","('Joshua', 'brother')","('Sarah', 'Amanda')"
22,"('actor', 'Jason', 'Andrew')","('saleswoman', 'Sarah', 'businesswoman')","('Brian', 'father', 'Madison')","('Emily', 'Jessica', 'Brian')","('father', 'Michael')","('lady', 'stepdaughter')"
23,"('Jason', 'actor', 'Andrew')","('Sarah', 'saleswoman', 'businesswoman')","('father', 'Brian', 'Madison')","('Jessica', 'Emily', 'Brian')","('Michael', 'father')","('stepdaughter', 'lady')"
24,"('Brian', 'brother-in-law', 'William')","('lady', 'mother-in-law', 'actress')","('Matthew', 'William', 'Hannah')","('Jennifer', 'lady', 'Daniel')","('Jason', 'salesman')","('Melissa', 'Sophia')"
25,"('brother-in-law', 'Brian', 'William')","('mother-in-law', 'lady', 'actress')","('William', 'Matthew', 'Hannah')","('lady', 'Jennifer', 'Daniel')","('salesman', 'Jason')","('Sophia', 'Melissa')"
